loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5734,16.432729721069336,4.9934210526315795e-05,1.0,760,,,,,,,,,,,,,
,,,1.0,760,0.0908254086971283,0.9714814814814815,0.9714772888427312,0.9722699773223412,0.9714814814814815,22.5625,119.667,3.767,,,,,
0.1909,5.624101638793945,4.4451754385964916e-05,2.0,1520,,,,,,,,,,,,,
,,,2.0,1520,0.08056122809648514,0.9707407407407408,0.9707889269987066,0.9715782108787906,0.9707407407407408,22.0838,122.261,3.849,,,,,
0.1524,11.413987159729004,3.889619883040936e-05,3.0,2280,,,,,,,,,,,,,
,,,3.0,2280,0.054237231612205505,0.9840740740740741,0.9841087843028389,0.9843218956262391,0.9840740740740741,22.2173,121.527,3.826,,,,,
0.1248,0.04684148356318474,3.33406432748538e-05,4.0,3040,,,,,,,,,,,,,
,,,4.0,3040,0.05345429480075836,0.9811111111111112,0.9811426544920974,0.9815322921479255,0.9811111111111112,22.2291,121.462,3.824,,,,,
0.1149,6.149166584014893,2.7785087719298248e-05,5.0,3800,,,,,,,,,,,,,
,,,5.0,3800,0.06053820624947548,0.9844444444444445,0.9844055803313677,0.9845858255987108,0.9844444444444445,22.1338,121.986,3.84,,,,,
0.0951,0.7162060141563416,2.2229532163742692e-05,6.0,4560,,,,,,,,,,,,,
,,,6.0,4560,0.058061663061380386,0.9825925925925926,0.9826250467677922,0.9830190251128985,0.9825925925925926,22.0247,122.59,3.859,,,,,
0.0882,0.07039482891559601,1.6673976608187136e-05,7.0,5320,,,,,,,,,,,,,
,,,7.0,5320,0.04181409999728203,0.9888888888888889,0.9889190649668598,0.9890694820751961,0.9888888888888889,22.0425,122.49,3.856,,,,,
0.0779,0.05392538383603096,1.1118421052631579e-05,8.0,6080,,,,,,,,,,,,,
,,,8.0,6080,0.04942053183913231,0.9877777777777778,0.9877987710341413,0.9878654969482445,0.9877777777777778,21.9577,122.964,3.871,,,,,
0.0721,0.015484388917684555,5.562865497076024e-06,9.0,6840,,,,,,,,,,,,,
,,,9.0,6840,0.04498777538537979,0.987037037037037,0.9870751722168912,0.9872477910950376,0.987037037037037,21.8658,123.48,3.887,,,,,
,,,9.0,6840,,,,,,,,,2472.0073,98.301,3.074,2.242029461278556e+19,0.16552804924591244
