loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4398,17.00735092163086,4.9967083607636606e-05,1.0,1519,,,,,,,,,,,,,
,,,1.0,1519,0.20798981189727783,0.9396296296296296,0.9402968358526047,0.9465225857874039,0.9396296296296296,35.8755,75.26,4.711,,,,,
0.2319,2.49662709236145,4.444810182137371e-05,2.0,3038,,,,,,,,,,,,,
,,,2.0,3038,0.105100117623806,0.9733333333333334,0.9733000983068014,0.9738735892250541,0.9733333333333334,34.8838,77.4,4.845,,,,,
0.1927,30.95577621459961,3.8892546265818156e-05,3.0,4557,,,,,,,,,,,,,
,,,3.0,4557,0.08426248282194138,0.977037037037037,0.9771106509514516,0.9779256553953745,0.977037037037037,35.1172,76.885,4.812,,,,,
0.1605,0.24816855788230896,3.33369907102626e-05,4.0,6076,,,,,,,,,,,,,
,,,4.0,6076,0.0981190875172615,0.9729629629629629,0.9731433215768437,0.9744638673488553,0.9729629629629629,36.0612,74.873,4.686,,,,,
0.1409,0.031963225454092026,2.7781435154707048e-05,5.0,7595,,,,,,,,,,,,,
,,,5.0,7595,0.0644015297293663,0.9851851851851852,0.9851382188741551,0.9855331904486117,0.9851851851851852,36.3256,74.328,4.652,,,,,
0.1207,14.108412742614746,2.222587959915149e-05,6.0,9114,,,,,,,,,,,,,
,,,6.0,9114,0.07810229063034058,0.9814814814814815,0.9813753944896078,0.9816874697972507,0.9814814814814815,35.0267,77.084,4.825,,,,,
0.1091,0.06377480179071426,1.6670324043595933e-05,7.0,10633,,,,,,,,,,,,,
,,,7.0,10633,0.046290282160043716,0.9892592592592593,0.989249189908588,0.9893477402188512,0.9892592592592593,35.7552,75.513,4.727,,,,,
0.0884,0.0035236140247434378,1.1114768488040377e-05,8.0,12152,,,,,,,,,,,,,
,,,8.0,12152,0.05784128978848457,0.987037037037037,0.9870461649730505,0.9871626018749136,0.987037037037037,47.3877,56.977,3.566,,,,,
0.0777,0.0023979099933058023,5.559212932484822e-06,9.0,13671,,,,,,,,,,,,,
,,,9.0,13671,0.04530971869826317,0.9914814814814815,0.9914831748264844,0.9915407763604004,0.9914814814814815,35.7678,75.487,4.725,,,,,
0.0708,28.348478317260742,3.6573769292663303e-09,10.0,15190,,,,,,,,,,,,,
,,,10.0,15190,0.04193781688809395,0.9925925925925926,0.9925877970274055,0.9926185577282348,0.9925925925925926,35.6087,75.824,4.746,,,,,
,,,10.0,15190,,,,,,,,,35347.4069,6.875,0.43,5.596019772280013e+19,0.16324087196937748
