loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6974,12.82707405090332,4.986842105263158e-05,1.0,380,,,,,,,,,,,,,
,,,1.0,380,0.11152470111846924,0.9637037037037037,0.9636857545378958,0.9641641848255988,0.9637037037037037,17.0139,158.694,2.527,,,,,
0.2123,17.82809829711914,4.4459064327485385e-05,2.0,760,,,,,,,,,,,,,
,,,2.0,760,0.07763441652059555,0.9766666666666667,0.9766059848960373,0.9769266670777217,0.9766666666666667,16.9759,159.049,2.533,,,,,
0.1658,7.597204685211182,3.890350877192982e-05,3.0,1140,,,,,,,,,,,,,
,,,3.0,1140,0.04755764454603195,0.9840740740740741,0.984097048848791,0.9841976419684092,0.9840740740740741,16.7207,161.476,2.572,,,,,
0.1418,5.690567970275879,3.334795321637427e-05,4.0,1520,,,,,,,,,,,,,
,,,4.0,1520,0.09084425121545792,0.9703703703703703,0.9706078051441933,0.9730226228593915,0.9703703703703703,16.9494,159.298,2.537,,,,,
0.1256,4.882208347320557,2.7792397660818714e-05,5.0,1900,,,,,,,,,,,,,
,,,5.0,1900,0.057761263102293015,0.9837037037037037,0.9836992902867647,0.9839196343828936,0.9837037037037037,17.3137,155.946,2.484,,,,,
,,,5.0,1900,,,,,,,,,667.754,363.906,5.691,3.953802662903808e+18,0.2685845786646793
