loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6174,4.119770526885986,4.986842105263158e-05,1.0,380,,,,,,,,,,,,,
,,,1.0,380,0.09406053274869919,0.9696296296296296,0.9695781426921891,0.9703400825918702,0.9696296296296296,27.8954,96.79,1.541,,,,,
0.097,2.167001247406006,4.4459064327485385e-05,2.0,760,,,,,,,,,,,,,
,,,2.0,760,0.05318829044699669,0.9829629629629629,0.9829192224838752,0.983076602062465,0.9829629629629629,7.5697,356.685,5.681,,,,,
0.0604,4.369372844696045,3.890350877192982e-05,3.0,1140,,,,,,,,,,,,,
,,,3.0,1140,0.07419003546237946,0.9751851851851852,0.9752540269529709,0.9763008619794556,0.9751851851851852,7.6981,350.737,5.586,,,,,
0.0443,4.043529033660889,3.334795321637427e-05,4.0,1520,,,,,,,,,,,,,
,,,4.0,1520,0.05159057676792145,0.9848148148148148,0.9848416030427237,0.985150929683264,0.9848148148148148,7.5642,356.947,5.685,,,,,
0.0303,0.19094838201999664,2.7792397660818714e-05,5.0,1900,,,,,,,,,,,,,
,,,5.0,1900,0.054157041013240814,0.9833333333333333,0.9833656551522099,0.9836097504019283,0.9833333333333333,7.6722,351.918,5.605,,,,,
0.0223,0.8924273252487183,2.2236842105263158e-05,6.0,2280,,,,,,,,,,,,,
,,,6.0,2280,0.04450741782784462,0.9866666666666667,0.986658443539134,0.9867332253921494,0.9866666666666667,7.7973,346.272,5.515,,,,,
0.0151,0.20783749222755432,1.6681286549707602e-05,7.0,2660,,,,,,,,,,,,,
,,,7.0,2660,0.04956352338194847,0.9833333333333333,0.9833454732230583,0.9834732233981197,0.9833333333333333,7.5906,355.701,5.665,,,,,
0.0093,0.08424623310565948,1.1125730994152048e-05,8.0,3040,,,,,,,,,,,,,
,,,8.0,3040,0.04500234127044678,0.987037037037037,0.9870380988175231,0.9871054800172712,0.987037037037037,9.0642,297.876,4.744,,,,,
0.0066,0.38408228754997253,5.570175438596491e-06,9.0,3420,,,,,,,,,,,,,
,,,9.0,3420,0.037923216819763184,0.9911111111111112,0.9911104734357024,0.9911646684986877,0.9911111111111112,7.7427,348.715,5.554,,,,,
0.0059,0.028208384290337563,1.4619883040935673e-08,10.0,3800,,,,,,,,,,,,,
,,,10.0,3800,0.04099559783935547,0.9877777777777778,0.9878081217794537,0.9878873603468727,0.9877777777777778,7.9654,338.967,5.398,,,,,
,,,10.0,3800,,,,,,,,,1881.7335,129.136,2.019,1.8831903654703104e+19,0.0908566707686374
