epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,181.887,0.78708,0.93296,1,0.20669,0.00333114,0.00333114,0.00333114
2,353.363,0.42152,0.91519,0.99926,0.24279,0.00653252,0.00653252,0.00653252
3,521.745,0.4884,0.87889,0.99407,0.37871,0.00960189,0.00960189,0.00960189
4,692.879,0.53521,0.93815,0.99926,0.18717,0.009406,0.009406,0.009406
5,866.955,0.43088,0.93074,1,0.19238,0.009208,0.009208,0.009208
6,1037.43,0.34546,0.94074,0.99963,0.17617,0.00901,0.00901,0.00901
7,1209.87,0.29972,0.96074,1,0.11216,0.008812,0.008812,0.008812
8,1382.26,0.27332,0.96185,1,0.11161,0.008614,0.008614,0.008614
9,1556.8,0.24223,0.95926,1,0.11832,0.008416,0.008416,0.008416
10,1729.6,0.23537,0.9663,1,0.10459,0.008218,0.008218,0.008218
11,1901.91,0.21366,0.9637,1,0.10255,0.00802,0.00802,0.00802
12,2071.86,0.2137,0.96889,1,0.09295,0.007822,0.007822,0.007822
13,2244.19,0.19704,0.97037,1,0.08511,0.007624,0.007624,0.007624
14,2415.79,0.1893,0.97741,1,0.06743,0.007426,0.007426,0.007426
15,2589.28,0.17514,0.97593,1,0.07305,0.007228,0.007228,0.007228
16,2759.08,0.16661,0.97259,1,0.08219,0.00703,0.00703,0.00703
17,2929.31,0.16685,0.97593,1,0.07084,0.006832,0.006832,0.006832
18,3098.73,0.16236,0.96815,1,0.08432,0.006634,0.006634,0.006634
19,3266.24,0.16129,0.97667,1,0.07123,0.006436,0.006436,0.006436
